Subject,Chapter,No,Type,Question,Option A,Option B,Option C,Option D,Correct Answer,,,
Chemistry,2,13,MCQ,"When a system at equilibrium is distributed, it shifts in a direction that _____ the disturbance.",increases,creates,opposes,ignores,C,,,
Chemistry,2,14,MCQ,Increasing the temperature always shifts an equilibrium toward the ______.,reactants,products,catalyst,solvent,B,,,
Chemistry,2,15,MCQ,A catalyst changes the _______ constant of a reaction.,rate,equilibrium,concentration,temperature,B,,,
Chemistry,3,1,TRUE_FALSE,An acid produces hydrogen ions (H+) in aqueous solution.,TRUE,FALSE,,,A,,,
Chemistry,3,2,TRUE_FALSE,A base produces hydroxide ions (OH-) in aqueous solution.,TRUE,FALSE,,,A,,,
Chemistry,3,3,TRUE_FALSE,A solution with a pH less than 7 is acidic.,TRUE,FALSE,,,A,,,
Chemistry,3,4,TRUE_FALSE,A neutralization reaction between an acid and a base generally produces salt and water.,TRUE,FALSE,,,A,,,
Chemistry,3,5,TRUE_FALSE,A strong acid completely ionizes in aqueous solution.,TRUE,FALSE,,,A,,,
Chemistry,3,6,BLANK,An acid produces _____ ions (H+) in aqueous solution.,,,,,hydrogen,,,
Chemistry,3,7,BLANK,A base produces ______ions (OH-) in aqueous solution.,,,,,hydroxide,,,
Chemistry,3,8,BLANK,A solution with a pH less than 7 is _____.,,,,,acidic,,,
Chemistry,3,9,BLANK,A ______ reaction between an acid and a base generally produces salt and water.,,,,,neutralization,,,
Chemistry,3,10,BLANK,A strong acid _____ ionizes in aqueous solution.,,,,,completely,,,
Chemistry,3,11,MCQ,An acid produces _____ ions in aqueous solution.,hydrogen,hydroxide,sodium,chlorine,A,,,
Chemistry,3,12,MCQ,A base produces ______ions in aqueous solution.,hydrogen,hydroxide,sodium,chlorine,B,,,
Chemistry,3,13,MCQ,A solution with a pH less than 7 is _____.,acidic,basic,neutral,alkaline,A,,,
Chemistry,3,14,MCQ,A ______ reaction between an acid and a base generally produces salt and water.,neutralization,titration,concentration,elimination,A,,,
Chemistry,3,15,MCQ,A strong acid _____ ionizes in aqueous solution.,partially,completely,slowly,never,B,,,
Chemistry,4,1,TRUE_FALSE,Oxidation is the gain of electrons.,TRUE,FALSE,,,B,,,
Chemistry,4,2,TRUE_FALSE,Reduction is the loss of electrons.,TRUE,FALSE,,,B,,,
Chemistry,4,3,TRUE_FALSE,Oxidation and reduction always occur together in a redox reaction.,TRUE,FALSE,,,A,,,
Chemistry,4,4,TRUE_FALSE,An oxidizing agent gains electrons during a redox reaction.,TRUE,FALSE,,,A,,,
Chemistry,4,5,TRUE_FALSE,A reducing agent loses electrons during a redox reaction.,TRUE,FALSE,,,A,,,
Chemistry,4,6,BLANK,Oxidation is the_____ of electrons.,,,,,loss,,,
Chemistry,4,7,BLANK,Reduction is the _____of electrons.,,,,,gain,,,
Chemistry,4,8,BLANK,Oxidation and ______ always occur together in a redox reaction.,,,,,reduction,,,
Chemistry,4,9,BLANK,An oxidizing agent______ electrons during a redox reaction.,,,,,gains,,,
Chemistry,4,10,BLANK,A reducing agent  ______electrons during a redox reaction.,,,,,loses,,,
Chemistry,4,11,MCQ,Oxidation is the_____ of electrons.,gain,loss,sharing,transfer,B,,,
Chemistry,4,12,MCQ,Reduction is the _____of electrons.,loss,gain,sharing,transfer,B,,,
Chemistry,4,13,MCQ,Oxidation and ______ always occur together in a redox reaction.,reduction,acid,neutralization,combustion,A,,,
Chemistry,4,14,MCQ,An oxidizing agent______ electrons during a redox reaction.,loses,gains,shares,destroys,B,,,
Chemistry,4,15,MCQ,A reducing agent  ______electrons during a redox reaction.,gains,loses,shares,absorbs,B,,,
Chemistry,5,1,TRUE_FALSE,The rate of a chemical reaction can be affected by pressure.,TRUE,FALSE,,,B,,,
Chemistry,5,2,TRUE_FALSE,A catalyst increases the rate of a chemical reaction without being consumed.,TRUE,FALSE,,,A,,,
Chemistry,5,3,TRUE_FALSE,Activation energy is the maximum energy required for a chemical reaction to occur.,TRUE,FALSE,,,B,,,
Chemistry,5,4,TRUE_FALSE,Increasing the concentration of reactants generally increases the reaction rate.,TRUE,FALSE,,,A,,,
Chemistry,5,5,TRUE_FALSE,Increasing the surface area of a solid reactant can increase the rate of reaction.,TRUE,FALSE,,,A,,,
Chemistry,5,6,BLANK,The rate of a chemical reaction can be affected by ______.,,,,,temperature,,,
Chemistry,5,7,BLANK,A catalyst increases the rate of a chemical reaction without being _____.,,,,,consumed,,,
Chemistry,5,8,BLANK,Activation energy is the _____ energy required for a chemical reaction to occur.,,,,,minimum,,,
Chemistry,5,9,BLANK,Increasing the ______ of reactants generally increases the reaction rate.,,,,,concentration,,,
Chemistry,5,10,BLANK,Increasing the ______ area of a solid reactant can increase the rate of reaction.,,,,,surface,,,
Chemistry,5,11,MCQ,Which factor can affect the rate of a chemical reaction?,temperature,color,shape,odor,A,,,
Chemistry,5,12,MCQ,A catalyst increases the rate of a chemical reaction without being _____.,produced,consumed,heated,dissolved,B,,,
Chemistry,5,13,MCQ,Activation energy is the _____ energy required for a chemical reaction to occur.,maximum,minimum,average,total,B,,,
Chemistry,5,14,MCQ,Which change generally increases the reaction rate?,decreasing reactant concentration ,increasing reactant concentration ,removing reactants,decreasing temperature ,B,,,
Chemistry,5,15,MCQ,Increasing the _____ area of a solid reactant can increase the rate of reaction.,surface,volume,mass,density,A,,,
Chemistry,6,1,TRUE_FALSE,An exothermic reaction absorbs heat to the surroundings.,TRUE,FALSE,,,B,,,
Chemistry,6,2,TRUE_FALSE,An endothermic reaction releases heat from the surroundings.,TRUE,FALSE,,,B,,,
Chemistry,6,3,TRUE_FALSE,Heat always flows from a hotter object to a colder object.,TRUE,FALSE,,,A,,,
Chemistry,6,4,TRUE_FALSE,The surroundings are everything outside the system being studied.,TRUE,FALSE,,,A,,,
Chemistry,6,5,TRUE_FALSE,Thermal equilibrium is reached when two objects have the same temperature.,TRUE,FALSE,,,A,,,
Chemistry,6,6,BLANK,An exothermic reaction ______ heat to the surroundings.,,,,,releases,,,
Chemistry,6,7,BLANK,An endothermic reaction _____ heat from the surroundings.,,,,,absorbs,,,
Chemistry,6,8,BLANK,Heat always flows from a _____ object to a colder object.,,,,,hotter,,,
Chemistry,6,9,BLANK,Everything outside the system being studied is called the_____.,,,,,surroundings,,,
Chemistry,6,10,BLANK,Thermal equilibrium is reached when two objects have the same ______.,,,,,temperature,,,
Chemistry,6,11,MCQ,An exothermic reaction______heat to the surroundings.,absorbs,releases,stores,destroys,B,,,
Chemistry,6,12,MCQ,An endothermic reaction _____ heat from the surroundings.,releases,produces,absorbs,destroys,C,,,
Chemistry,6,13,MCQ,Heat always flows from a _____ object to a colder object.,colder,hotter,smaller,heavier,B,,,
Chemistry,6,14,MCQ,Everything outside the system being studied is called the_____.,system,surroundings,reaction,solution ,B,,,
Chemistry,6,15,MCQ,Thermal equilibrium is reached when two objects have the same ______.,mass,volume,temperature,pressure,C,,,
Chemistry,7,1,TRUE_FALSE,An electrolyte conducts electricity when dissolved in water.,TRUE,FALSE,,,A,,,
Chemistry,7,2,TRUE_FALSE,Weak electrolytes completely ionize in aqueous solution.,TRUE,FALSE,,,B,,,
Chemistry,7,3,TRUE_FALSE,A nonelectrolyte does not conduct electricity when dissolved in water.,TRUE,FALSE,,,A,,,
Chemistry,7,4,TRUE_FALSE,Solubility is the maximum amount of a solute that can dissolve in a given amount of solvent at a specific temperature.,TRUE,FALSE,,,A,,,
Chemistry,7,5,TRUE_FALSE,A saturated solution contains the maximum amount of solute that can dissolve at a given temperature.,TRUE,FALSE,,,A,,,
Chemistry,7,6,BLANK,An electrolyte conducts electricity when ______ in water.,,,,,dissolved,,,
Chemistry,7,7,BLANK,Strong electrolytes _____ ionize in aqueous solution.,,,,,completely,,,
Chemistry,7,8,BLANK,A nonelectrolyte does not _____electricity when dissolved in water.,,,,,conduct,,,
Chemistry,7,9,BLANK,Solubility is the maximum amount of a ____ that can dissolve in a given amount of solvent at a specific temperature.,,,,,solute,,,
Chemistry,7,10,BLANK,A saturated solution contains the ______amount of solute that can dissolve at a given temperature.,,,,,maximum,,,
Chemistry,7,11,MCQ,An electrolyte conducts electricity when ______ in water.,frozen,dissolved,evaporated,heated,B,,,
Chemistry,7,12,MCQ,Strong electrolytes _____ ionize in aqueous solution.,partially,completely,slowly,never,B,,,
Chemistry,7,13,MCQ,A nonelectrolyte does not _____electricity when dissolved in water.,produce,conduct,absorb,generate,B,,,
Chemistry,7,14,MCQ,Solubility is the maximum amount of a ____ that can dissolve in a given amount of solvent at a specific temperature.,density,molarity,solute,concentrate ,C,,,
Chemistry,7,15,MCQ,A saturated solution contains the ______amount of solute that can dissolve at a given temperature.,minimum,maximum,smallest,fixed,B,,,
Chemistry,8,1,TRUE_FALSE,Organic compounds mainly contain carbon atoms.,TRUE,FALSE,,,A,,,
Chemistry,8,2,TRUE_FALSE,Hydrocarbons contain only carbon and hydrogen atoms.,TRUE,FALSE,,,A,,,
Chemistry,8,3,TRUE_FALSE,Alkanes contain only single bonds between carbon atoms.,TRUE,FALSE,,,A,,,
Chemistry,8,4,TRUE_FALSE,Alkenes contain at least one carbon-carbon double bond.,TRUE,FALSE,,,A,,,
Chemistry,8,5,TRUE_FALSE,Alkynes contain at least one carbon-carbon triple bond.,TRUE,FALSE,,,A,,,
Chemistry,8,6,BLANK,Organic compounds mainly contain _____ atoms.,,,,,carbon,,,
Chemistry,8,7,BLANK,Hydrocarbons contain only _____ and hydrogen atoms.,,,,,carbon,,,
Chemistry,8,8,BLANK,Alkanes contain only_____ bonds between carbon atoms.,,,,,single,,,
Chemistry,8,9,BLANK,Alkenes contain at least one carbon-carbon _____ bond.,,,,,double,,,
Chemistry,8,10,BLANK,Alkynes contain at least one carbon-carbon _____ bond.,,,,,triple,,,
Chemistry,8,11,MCQ,Organic compounds mainly contain _____ atoms.,oxygen,carbon,sodium,calcium,B,,,
Chemistry,8,12,MCQ,Hydrocarbons contain only _____ and hydrogen atoms.,oxygen,nitrogen,hydrogen,suiphur,C,,,
Chemistry,8,13,MCQ,Alkanes contain only_____ bonds between carbon atoms.,single,double,triple,ionic,A,,,
Chemistry,8,14,MCQ,Alkenes contain at least one carbon-carbon _____ bond.,single,double,triple,ionic,B,,,
Chemistry,8,15,MCQ,Alkynes contain at least one carbon-carbon _____ bond.,single,double,triple,ionic,C,,,
